measurement,same_genre,different_genres
similarity,0.01,0.04
similarity,-0.05,0
similarity,0.02,0.04
similarity,-0.04,0.03
similarity,0.14,0.09
similarity,0.02,0.03
similarity,0.17,0.13
similarity,-0.02,0.07
similarity,0.02,0.15
similarity,0.04,0.07
similarity,-0.03,0.14
similarity,0.02,0.19
similarity,0.08,0
similarity,0.13,-0.02
similarity,0.04,0.05
similarity,0.03,0.09
similarity,0.11,0.06
similarity,-0.05,0.04
similarity,-0.02,0.03
similarity,-0.01,0.15
similarity,0.01,0.06
similarity,0.16,-0.08
similarity,-0.01,0.09
similarity,-0.06,0.09
similarity,-0.02,0.22
similarity,0.11,0.15
similarity,0.05,0.26
similarity,0.08,0.05
similarity,-0.06,0.31
similarity,0,0.02
similarity,-0.07,0.02
similarity,0.11,0.04
similarity,0.05,0.04
similarity,-0.04,-0.01
similarity,0.01,0
similarity,0.04,0.06
similarity,-0.07,0.1
similarity,0.09,-0.06
similarity,0,0.07
similarity,-0.02,-0.02
similarity,-0.05,0.08
similarity,-0.05,-0.01
similarity,0.03,0.05
similarity,0.17,0
similarity,0.02,0.12
similarity,0.27,0.04
similarity,0,0.03
similarity,0.07,0.03
similarity,0.15,0.03
similarity,0.14,0.08
similarity,0.13,0.04
similarity,0.01,0.02
similarity,0.15,0.05
similarity,0.11,-0.03
similarity,0.12,0.02
similarity,0.05,0.13
similarity,0.04,0.01
similarity,0.07,0.08
similarity,0.02,0.05
similarity,-0.01,0.1
similarity,0.22,0.05
similarity,0.03,0.22
similarity,-0.02,0.1
similarity,0.02,-0.03
similarity,0.16,0.17
similarity,-0.05,0.01
similarity,0.05,0.05
similarity,-0.02,0.04
similarity,0.09,0.07
similarity,0.09,0.04
similarity,0.2,0.03
similarity,0.05,0.09
similarity,0.02,0.08
similarity,-0.01,0.01
similarity,-0.02,0.12
similarity,0.07,-0.01
similarity,-0.04,0.12
similarity,-0.01,0.05
similarity,0.12,0.08
similarity,0.16,-0.01
similarity,0.02,0.07
similarity,-0.02,-0.02
similarity,0.09,0.03
similarity,-0.04,0.04
similarity,0.1,0.1
similarity,0.04,0.02
similarity,-0.01,0.04
similarity,0.01,0.19
similarity,0.01,0.07
similarity,-0.05,0.49
similarity,0.03,0.03
similarity,-0.09,0
similarity,0.02,0.13
similarity,0.11,0.05
similarity,0.01,0.13
similarity,0.15,0.04
similarity,0.01,0.01
similarity,0.08,0.03
similarity,0.02,0.02
similarity,-0.04,0.04
similarity,-0.04,0
similarity,-0.03,0.06
similarity,-0.01,0.07
similarity,0.01,0.01
similarity,-0.02,0.04
similarity,0.02,0.13
similarity,-0.05,0.12
similarity,0.05,0.04
similarity,0.08,0.04
similarity,0.05,0.08
similarity,-0.01,0
similarity,0.05,0.03
similarity,0.11,0
similarity,0.05,0.03
similarity,0.06,0
similarity,0,0.04
similarity,0.01,0.01
similarity,0.03,0.04
similarity,0.09,-0.02
similarity,0.08,-0.01
similarity,0.1,-0.04
similarity,0,0.13
similarity,-0.04,0
similarity,-0.05,0.29
